"","lon","lat","range"
"4752389",-21.940118,64.063665,482
"4752394",-21.970333,64.055152,10000
"4752395",-21.980773,64.055457,509
"4752399",-22.001313,64.051963,1748
"4752409",-22.127354,64.023197,801
"4752441",-22.369134,63.97076,10000
"4752445",-22.370115,63.971506,1674
"4752447",-22.450061,63.96264,2536
"4752454",-22.494251,63.967223,10000
"4752666",-22.575448,63.998476,382
"4752729",-22.534645,63.972911,1450
"4752741",-22.477275,63.965041,10000
"4756932",-21.801049,64.117403,4
"4756966",-21.842448,64.112729,151
"4757061",-21.864417,64.104207,678
"4757310",-22.306416,64.010295,3640
"4757311",-22.412722,63.985408,8701
"4757312",-22.254566,64.01797,98
"4757313",-22.302914,63.999171,16453
"4757314",-22.309535,64.010317,2651
"4757315",-22.294812,64.013848,12591
"4757327",-22.283412,64.01441,154
"4757328",-22.351158,63.987237,4608
"4757329",-22.334251,63.995547,5020
"4757330",-22.368884,63.974113,5943
"4757341",-22.338696,64.006601,546
"4757342",-22.350392,64.007176,399
"4757343",-22.35345,64.00687,10000
"4757344",-22.355105,64.006465,13
"4757345",-22.470958,63.967078,6542
"4757346",-22.376369,63.989256,1279
"4757365",-22.391283,63.984069,680
"4757392",-22.383467,63.970657,2155
"4757393",-22.493184,63.968054,6506
"4757394",-22.36019,63.976645,8
"4757426",-22.379616,63.9677,47
"4757427",-22.38933,63.9659,10000
"4799826",-21.85812,64.110928,10000
"4810554",-21.853341,64.101101,10000
"4835376",-21.886999,64.139893,97
"4835386",-21.866919,64.131218,111
"4841734",-21.925436,64.139246,1
"4842037",-21.895591,64.137237,872
"4873068",-21.935666,64.147606,287
"4873107",-21.913295,64.13532,108
"4873117",-21.907611,64.134616,10000
"4873125",-21.88048,64.130169,10000
"4873129",-21.827631,64.114405,781
"4882343",-21.694807,64.099444,1899
"4890118",-21.697328,64.103496,3878
"4910447",-23.601982,65.685265,75
"4910575",-23.602435,65.685117,102
"4910694",-23.645326,65.66206,3133
"4925840",-21.783843,64.12741,1730
"4929743",-22.599729,64.041585,10000
"4929766",-22.512229,63.968924,10000
"4929784",-22.294022,63.990175,849
"4947262",-21.855115,64.132954,10000
"4953424",-22.713173,64.041257,38
"4969070",-20.818821,64.036288,10000
"4969075",-20.818832,64.036304,10000
"4969081",-20.802112,64.038925,10000
"4970577",-22.649635,64.071178,38
"4972526",-21.701501,64.167121,10000
"4975140",-21.863336,64.150222,8
"4981242",-21.881946,64.132289,409
"4981245",-21.883109,64.1323,22
"4981263",-21.882846,64.132817,10000
"4988436",-21.667184,64.159689,6
"4988582",-21.668371,64.159645,81
"4990279",-21.173674,64.237792,9850
"4990280",-21.086322,64.193077,12897
"4990281",-21.077743,64.256546,3144
"4990283",-21.388343,64.209896,17069
"4990463",-21.276487,64.214107,11047
"4990464",-21.490965,64.194602,4769
"4990473",-21.505359,64.196359,376
"4990474",-21.563375,64.184851,116
"4990475",-21.580295,64.182878,2707
"4990476",-21.619608,64.18061,2205
"4990483",-21.660714,64.179179,421
"4990484",-21.665172,64.178738,120
"4990858",-21.865409,64.130277,10000
"4995460",-21.940205,64.148507,38
"4995465",-21.940359,64.147988,58
"5030854",-21.898162,64.098386,10000
"5030855",-21.898161,64.098386,10000
"5200452",-22.23827,64.000811,10000
"5200459",-22.578686,63.990596,10000
"5210294",-21.948632,64.153339,10000
"5210301",-21.948679,64.153516,8
"5230887",-21.889799,64.104238,295
"5231090",-21.891075,64.104082,281
"5231096",-21.890448,64.104132,421
"5231103",-21.88889,64.103989,963
